RIKILT code	Sample id	Country	Tetracycline	Oxytetracycline	Doxycyline	Chloortetracycline	Minocycline	Methacycline	Dapson	Sulfacetamide	Sulfachloropyridazine	Sulfadiazine	Sulfadimethoxine	Sulfadimidine	Sulfadoxine	Sulfamerazine	Sulfamethizole	Sulfamethoxazole	Sulfamethoxypyridazine	Sulfamonomethoxine	Sulfamoxole	Sulfaphenazole	Sulfapyridine	Sulfaquinoxaline	Sulfathiazole	Sulfisoxazole	Trimethoprim	Ciprofloxacin	Danofloxacin	Difloxacin	Enrofloxacin	Flumequin	Marbofloxacin	Nalidixinezuur	Norfloxacin	(Lev)ofloxacin	Oxolinezuur	Sarafloxacin	Trovafloxacin 	Tylvalosin (aivlosin)	Erythromycin	Gamithromycin	Josamycin	Lincomycin	Natamycin	Neospiramycin	Pirlimycin	Spiramycin	Tildipirosin	Tilmicosin	Tulathromycin	Tylosine	Valnemulin	Vancomycin	Tiamulin	Apramycine	Dihydrostreptomycine	Spectinomycine	Gentamicine	Kanamycine	Neomycine	Paromomycine	Streptomycine	Tobramycine	Amikacine	Amoxicilline	Ampicilline	Penicilline G	Penicilline V	Cloxacilline	Dicloxacilline	Nafcilline	Oxacilline	Cefapirine	Cefalexin	Cefalonium	Cefoperazone	Ceftiofur	Cefquinome	Cefacetril	Cefotaxim	Ceftazidime	Cefpodoxime	Cefazolin	Imipenem	Meropenem	Ertapenem	Biapenem	Doripenem	Faropenem
414074	30	Italy	87	<100	<50	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	220	<5	<25	<5	ntb	100	<25	32	<5	<5	1600	<5	<5	<5	<5	<5	<5	76	930	<5	<5	<5	ntb	<5	<50	<50	43	ntb	ntb	<5	<50	ntb	<100	ntb	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414075	31	Latvia	<25	<100	220	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	1100	<5	<25	<5	ntb	170	<25	55	<5	460	1200	<5	<5	<5	<5	<5	<5	140	140	<5	<5	<5	ntb	36	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414076	32	Luxembourg	200	<100	120	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	29	<5	<25	<5	ntb	<5	<25	<25	<5	160	1100	<5	<5	<5	<5	<5	<5	70	100	<5	<5	25	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414077	33	Nepal	35	42	120	<25	<500	<100	<5	<5	<25	<5	<5	250	<5	<5	<5	110	<5	<25	<5	ntb	<5	<25	<25	<5	130	1100	<5	<5	<5	<5	<5	<5	240	790	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414078	34	Oslo	1250	<100	190	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	140	<5	<25	<5	ntb	65	<25	<25	<5	69	780	<5	<5	<5	<5	<5	<5	<5	57	<5	<5	<5	ntb	220	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414079	35	Peru	940	<100	460	<100	<500	<500	<5	<5	<25	170	<5	<5	<5	<5	<5	6300	<5	<25	<5	ntb	170	<25	<25	<5	6200	16500	<5	<5	<5	<5	<5	<5	3800	8200	<5	<5	<5	ntb	<5	<50	<50	490	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414080	36	Poland	930	<500	1200	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	1500	<5	<25	<5	ntb	680	<25	140	<5	480	4450	<5	<5	42	<5	<5	<5	2150	680	<5	<5	<5	ntb	<5	<50	<50	190	ntb	ntb	<5	170	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414081	37	Serbia	44	<100	420	<25	<100	<100	<5	49	<25	<5	<5	<5	<5	<5	<5	580	<5	<25	<5	ntb	270	<25	<25	<5	350	3600	<5	<5	<5	<5	<5	<5	120	950	<5	<5	<5	ntb	270	<50	<50	<5	ntb	ntb	<5	92	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414082	38	Slovenia	29	32	430	<100	<100	<100	<5	<5	<25	31	<5	<5	<5	<5	<5	920	<5	<25	<5	ntb	280	<25	<25	<5	420	2600	<5	<5	<5	<5	<5	<5	600	1600	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414083	39	South Africa	240	41	740	<25	<500	<500	<5	<5	<25	<5	<5	<5	<5	<5	<5	3400	<5	<25	<5	ntb	310	<25	<25	<5	1850	4550	<5	<5	<5	<5	<5	<5	79	1300	<5	<5	<5	ntb	2050	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414084	40	Sri Lanka	63	<25	320	<25	<100	<100	44	<5	<25	<5	<5	<5	<5	<5	<5	740	<5	<25	<5	ntb	550	<25	<25	<5	49	3000	<5	<5	25	<5	<5	300	180	530	<5	<5	<5	ntb	410	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414085	41	Sweden	3100	<25	360	<100	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	310	<5	<25	<5	ntb	4100	<25	<25	<5	50	2400	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414086	41a	Sweden	580	<25	130	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	170	<5	<25	<5	ntb	120	<25	<25	<5	140	540	<5	<5	<5	<5	<5	<5	<5	26	<5	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414087	43	The Netherlands	100	<25	390	<25	<100	<100	<5	<5	<25	10	<5	<5	<5	<5	<5	85	<5	<25	<5	ntb	220	<25	<25	<5	66	1500	<5	<5	13	<5	<5	<5	68	170	120	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414088	44	Togo	160	4900	190	<25	<100	<100	6	17	<25	<5	<5	<5	5200	<5	<5	26500	<5	<25	<5	ntb	<5	<25	1200	<5	870	11500	<5	<5	<5	<5	<5	<5	1100	760	<5	<5	<5	ntb	<5	<50	<50	14500	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
414089	46	TURKEY	53	<50	75	<25	<100	<100	<5	<5	<25	<5	<5	<5	<5	<5	<5	130	<5	<25	<5	ntb	97	<25	<25	<5	50	1400	<5	<5	<5	<5	<5	<5	<5	330	12	<5	<5	ntb	<5	<50	<50	<5	ntb	ntb	<5	<50	ntb	<100	<500	<50	<50	ntb	<50	<5	<5	<5	<20	<5	<50	<5	<5	<20	<5	<5	<5	<5	<5	<5	<5	<5	<5	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50	<50
