country_id	country_name	year	AG.SRF.TOTL.K2	NY.GDP.MKTP.KD.ZG	NY.GDP.PCAP.CD	SH.DYN.NMRT	SH.H2O.SAFE.UR.ZS	SH.STA.BFED.ZS	SI.POV.NAGP	SM.POP.REFG.OR	SP.ADO.TFRT	SP.POP.65UP.TO.ZS	SP.POP.GROW	SP.POP.TOTL	SP.URB.TOTL.IN.ZS	TM.VAL.FOOD.ZS.UN	TX.VAL.FOOD.ZS.UN
GIN	Guinea	2014	245860	0.39999860108793	539.615774988756	31.8	92.7	NA	NA	15243	141.6722	3.061905203744	2.69829437337075	12275527	36.68	NA	NA
GMB	Gambia, The	2014	11300	NA	NA	30.7	94.2	NA	NA	5134	113.5836	2.33590792661139	3.23199269159545	1928201	59.015	40.9260864804866	49.3592710307506
GNB	Guinea-Bissau	2014	36130	2.54028629573099	567.822610297551	40.6	96.7	NA	NA	1307	91.3858	3.14771401261751	2.4385275205738	1800513	48.55	NA	NA
GNQ	Equatorial Guinea	2014	28050	-0.304094543704878	18918.2768313328	33.7	72.5	NA	NA	174	109.7974	2.86215486943969	2.94254672400063	820885	39.756	NA	NA
GRC	Greece	2014	131960	0.653982658187189	21498.4180130496	3	100	NA	NA	113	7.6694	20.8689440754957	-0.635054054668695	10957740	77.678	12.7982585630622	17.4317326573776
GRD	Grenada	2014	340	5.68482121756995	8573.6940673666	6.2	99	NA	NA	324	31.4956	7.14910342363351	0.421200051684204	106349	35.58	NA	NA
GRL	Greenland	2014	410450	NA	NA	NA	100	NA	NA	NA	NA	NA	-0.333398666658893	56295	86.045	22.7187444028933	91.3574595229233
GTM	Guatemala	2014	108890	4.24977352466523	3673.13584251267	13.8	98.4	NA	NA	7483	81.404	4.76306256928447	2.04825214531038	16015494	51.115	13.5646328773204	42.4042527960621
GUM	Guam	2014	540	NA	NA	NA	99.5	NA	NA	NA	48.7892	8.40858764615651	1.45614962606008	167543	94.437	NA	NA
GUY	Guyana	2014	214970	NA	4053.90190377961	23.2	98	NA	NA	700	88.4178	4.85905748579972	0.375100608601386	763893	28.459	14.9879583257077	65.6672497467939
HIC	High income	2014	57725275.7	1.72754659813086	37755.8191701677	3.8	99.4499976102664	NA	NA	137900	19.801265055168	16.0474755521057	0.591653518672459	1398793049	80.6541304587007	8.32410248165881	9.17298665162205
HKG	Hong Kong SAR, China	2014	1100	2.50123909363809	40169.5436383441	NA	NA	NA	NA	25	3.2662	14.526830360423	0.751257934122812	7241700	100	4.91902987467125	NA
HND	Honduras	2014	112490	3.08521496129973	2434.82716190676	11.4	97.2	NA	49.3	4159	65.6586	4.7357969674742	1.42463808660857	7961680	54.137	NA	NA
HPC	Heavily indebted poor countries (HIPC)	2014	19767153.5	5.78815733599825	899.161110553819	27.8359019552335	86.1312959436264	NA	NA	6292503	100.842824049232	3.12636676920899	2.78061417629453	701714118	34.1313321138381	NA	NA
HRV	Croatia	2014	56590	-0.360434269363935	13475.2589621781	2.7	99.6	NA	NA	40126	9.925	18.6005954622963	-0.407343184777633	4238389	58.656	12.9719847940047	12.4765632527709
HTI	Haiti	2014	27750	2.74985018975964	824.159773204545	26	64.9	NA	NA	37161	39.675	4.57941422597308	1.34057272710327	10572029	57.436	NA	NA
HUN	Hungary	2014	93030	3.67222001972591	14028.7220956269	3.6	100	NA	NA	1267	18.2126	17.5340612404622	-0.317989531802519	9861673	70.771	5.17348874925224	8.34763957249638
IDN	Indonesia	2014	1910930	5.02466495739111	3491.92971737141	14	94	NA	1.8	9562	50.001	5.10861501684987	1.26019335881402	254454778	53.003	NA	NA
IMY	Isle of Man	2014	570	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.766181328474289	87127	52.138	NA	NA
IND	India	2014	3287260	7.28625323936163	1581.51070308774	28.6	97.1	NA	NA	10433	25.6746	5.48830449671205	1.22673029572789	1295291543	32.366	4.45850933872258	11.4182543043303
IRL	Ireland	2014	70280	5.19936889535026	54374.3522391259	2.3	97.9	NA	NA	10	10.7732	12.7019287451734	0.313212277361193	4612719	62.952	13.5076423617207	11.8210607249976
IRN	Iran, Islamic Rep.	2014	1745150	4.34334340221696	5442.87477076039	9.8	97.7	NA	NA	82170	27.0988	4.96973752593365	1.27654529687566	78143644	72.855	NA	NA
IRQ	Iraq	2014	435240	-2.11826806087713	6420.37233256622	19	93.8	NA	NA	369904	83.2342	3.055623414576	3.00616083391248	34812326	69.361	NA	NA
ISL	Iceland	2014	103000	1.82666045354701	52004.4857483205	1	100	NA	NA	1	6.48	13.3329056147233	1.17449185595701	327589	94.042	10.6954194356985	43.5643599863152
ISR	Israel	2014	22070	2.5544230527243	37207.9944974624	2.2	100	NA	NA	971	10.0612	11.0311716770475	1.91467495311992	8215300	92.076	7.71940215358121	2.97655637951951
ITA	Italy	2014	301340	-0.443878226180374	34908.5009745916	2.1	100	NA	NA	67	6.0838	22.0141920876075	1.81371421076964	61336387	68.821	11.0212021940727	8.28650991742734
JAM	Jamaica	2014	10990	0.687750717694243	5104.76775679784	12	97.5	NA	NA	1692	60.5584	8.95688249312597	0.239809415391168	2721252	54.556	16.6767330236324	18.2772702496609
JOR	Jordan	2014	89320	3.09633027522935	5422.57087553321	11	97.8	NA	NA	1716	23.7632	3.7747285190848	2.25003752532381	6607000	83.447	18.1960019159777	20.4452557760658
JPN	Japan	2014	377962	-0.104499999999959	36194.4156134427	1	100	NA	NA	263	4.1584	25.7054221977529	-0.162550165733791	127131800	93.021	8.36454467504649	0.694091615648815
KAZ	Kazakhstan	2014	2724902	4.39999999999998	12601.7034780684	7.5	99.4	NA	NA	2212	28.586	6.73203151277592	1.47906871521046	17289111	53.29	10.2520313405929	3.33321915202079
KEN	Kenya	2014	580370	5.32805778559964	1358.26221855626	22.9	81.6	NA	NA	8556	91.531	2.75660104989831	2.64412139590371	44863583	25.197	NA	NA
KGZ	Kyrgyz Republic	2014	199949	3.60303614409068	1269.13933535111	12.1	96.7	NA	5.4	2437	39.9964	4.23208776345197	1.98382797777331	5834200	35.585	NA	NA
KHM	Cambodia	2014	181040	7.07152535164744	1094.57668777899	15.7	97.8	NA	NA	13062	51.0532	4.01498264368218	1.64159612591134	15328136	20.514	NA	NA
KIR	Kiribati	2014	810	3.69999999999999	1509.52118657047	24.1	87.4	NA	NA	3	17.9648	3.65167013668869	1.75883701548005	110470	44.173	NA	NA
KNA	St. Kitts and Nevis	2014	260	6.89509253505645	15510.3939262063	6.8	98.3	NA	NA	22	NA	NA	1.177184173849	54944	31.96	NA	NA
KOR	Korea, Rep.	2014	100266	3.31014756530605	27970.4951469293	1.7	99.7	NA	NA	481	1.6584	12.6763034070043	0.40595970701192	50423955	82.36	NA	NA
KSV	Kosovo	2014	10887	1.2185338565946	4051.64836077068	NA	NA	NA	NA	NA	NA	NA	0.276387564286183	1823149	NA	NA	NA
KWT	Kuwait	2014	17820	-1.6220334736164	43593.7020176514	3.4	99	NA	NA	994	10.1472	1.94627351476277	4.3408509000704	3753121	98.326	NA	NA
LAC	Latin America & Caribbean (developing only)	2014	15769281	1.76550654717794	9091.34019483498	10.2	97.2871776478448	NA	NA	194820	64.5664060415407	6.97188539951248	1.10773892623546	525173404	77.7815475054045	7.25237219956103	19.3166101663554
LAO	Lao PDR	2014	236800	7.51527012283708	1793.47049417605	30.7	85.6	NA	NA	7482	64.541	3.77417667020466	1.64767691845082	6689300	37.551	NA	NA
LBN	Lebanon	2014	10450	1.99999999998306	10057.8883563669	5	99	NA	NA	4272	12.6554	8.13295068366613	1.17998601933863	4546774	87.67	NA	NA
LBR	Liberia	2014	111370	0.499999999999986	457.858586520261	24.7	87.8	NA	NA	13548	110.5554	3.020433730599	2.36740833674657	4396554	49.308	NA	NA
LBY	Libya	2014	1759540	-24	6573.38673726201	7.5	NA	NA	NA	4194	6.2138	4.46010087260168	-0.111824621865494	6258984	78.359	NA	NA
LCA	St. Lucia	2014	620	0.456089138447595	7647.52954784946	9.5	99.5	NA	NA	922	54.3862	8.8823545427319	0.732343756788473	183645	18.477	NA	NA
