alpha,variable,value,country,year
9,New.Zealand2003,1.573638425,New.Zealand,2003
10,New.Zealand2003,1.564854732,New.Zealand,2003
11,New.Zealand2003,1.557863088,New.Zealand,2003
12,New.Zealand2003,1.552165893,New.Zealand,2003
13,New.Zealand2003,1.54743415,New.Zealand,2003
14,New.Zealand2003,1.543441635,New.Zealand,2003
15,New.Zealand2003,1.54002768,New.Zealand,2003
16,New.Zealand2003,1.537075027,New.Zealand,2003
17,New.Zealand2003,1.5344961,New.Zealand,2003
18,New.Zealand2003,1.53222417,New.Zealand,2003
19,New.Zealand2003,1.5302075,New.Zealand,2003
20,New.Zealand2003,1.528405362,New.Zealand,2003
Inf,New.Zealand2003,1.50243112,New.Zealand,2003
0,New.Zealand2005,15,New.Zealand,2005
1,New.Zealand2005,4.746303092,New.Zealand,2005
2,New.Zealand2005,2.60298045,New.Zealand,2005
3,New.Zealand2005,2.141713393,New.Zealand,2005
4,New.Zealand2005,1.975584758,New.Zealand,2005
5,New.Zealand2005,1.894167236,New.Zealand,2005
6,New.Zealand2005,1.846505377,New.Zealand,2005
7,New.Zealand2005,1.815333698,New.Zealand,2005
8,New.Zealand2005,1.793380268,New.Zealand,2005
9,New.Zealand2005,1.777087789,New.Zealand,2005
10,New.Zealand2005,1.764517943,New.Zealand,2005
11,New.Zealand2005,1.754526056,New.Zealand,2005
12,New.Zealand2005,1.746392964,New.Zealand,2005
13,New.Zealand2005,1.739644193,New.Zealand,2005
14,New.Zealand2005,1.733954068,New.Zealand,2005
15,New.Zealand2005,1.729091633,New.Zealand,2005
16,New.Zealand2005,1.724888554,New.Zealand,2005
17,New.Zealand2005,1.721219242,New.Zealand,2005
18,New.Zealand2005,1.717988097,New.Zealand,2005
19,New.Zealand2005,1.71512106,New.Zealand,2005
20,New.Zealand2005,1.712559872,New.Zealand,2005
Inf,New.Zealand2005,1.675735734,New.Zealand,2005
